nohup: 忽略输入
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:53:30   0.54    0.46    0.00    0.00    0.00    1.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:31   0.40    0.33    0.00    0.00    0.02    0.75     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:32   0.00    0.00    0.00    0.00    0.00    0.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:33   1.15    0.63    0.00    0.00    0.17    1.94     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:53:34   4.19    2.48    0.00    0.00    0.53    7.20     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:35   4.10    2.46    0.00    0.00    0.74    7.30     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:36   4.42    3.41    0.00    0.00    0.78    8.61     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:37   4.01    2.44    0.00    0.00    0.82    7.27     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:38   4.13    2.59    0.00    0.00    0.59    7.31     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:39   4.30    2.59    0.00    0.00    0.53    7.42     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:40   4.22    2.55    0.00    0.00    0.46    7.23     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:41   3.93    2.33    0.00    0.00    0.63    6.89     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:42   4.20    2.57    0.00    0.00    0.51    7.28     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:43   3.87    2.63    0.00    0.00    0.78    7.27     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:44   4.08    2.52    0.00    0.00    0.67    7.28     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:45   4.11    2.47    0.00    0.00    0.55    7.13     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:46   3.96    2.53    0.00    0.00    0.61    7.11     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:47   4.58    3.63    0.00    0.00    0.86    9.07     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:48   3.89    2.34    0.00    0.00    0.59    6.82     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:49   3.87    2.48    0.00    0.00    0.59    6.95     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:50   3.77    2.25    0.00    0.00    0.57    6.59     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:51   3.83    2.31    0.00    0.00    0.80    6.94     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:52   4.22    2.57    0.00    0.00    0.53    7.32     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:53:53   4.29    2.64    0.00    0.00    0.49    7.41     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:54   4.11    2.47    0.00    0.00    0.61    7.19     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:55   4.13    2.51    0.00    0.00    0.67    7.31     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:56   4.01    2.32    0.00    0.00    0.57    6.89     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:57   5.05    3.64    0.00    0.00    0.53    9.22     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:58   4.42    2.85    0.00    0.00    0.51    7.78     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:53:59   4.00    2.42    0.00    0.00    0.78    7.19     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:00   4.13    2.49    0.00    0.00    0.78    7.39     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:01   4.37    2.57    0.00    0.00    0.59    7.53     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:02   4.32    2.74    0.00    0.00    0.55    7.61     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:03   3.11    1.75    0.00    0.00    0.40    5.26     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:04   0.02    0.00    0.00    0.00    0.00    0.02     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:05   1.40    0.98    0.00    0.00    0.19    2.57     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:06   6.39    3.93    0.00    0.00    0.85   11.17     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:07   5.96    3.76    0.00    0.00    0.79   10.50     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:08   6.07    4.70    0.00    0.00    1.12   11.88     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:09   4.95    3.02    0.00    0.00    1.22    9.19     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:10   5.32    3.21    0.00    0.00    0.74    9.27     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:11   5.41    3.13    0.00    0.00    0.78    9.32     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:54:12   5.26    3.26    0.00    0.00    0.76    9.28     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:13   5.36    3.19    0.00    0.00    0.78    9.33     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:14   5.19    3.19    0.00    0.00    0.82    9.20     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:15   5.20    3.41    0.00    0.00    0.99    9.61     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:16   5.80    3.43    0.00    0.00    0.74    9.97     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:17   5.78    3.62    0.00    0.00    0.70   10.10     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:18   6.12    4.44    0.00    0.00    0.89   11.45     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:19   6.32    3.95    0.00    0.00    0.95   11.22     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:20   5.76    3.43    0.00    0.00    0.74    9.93     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:21   5.62    3.62    0.00    0.00    0.72    9.96     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:22   6.09    3.84    0.00    0.00    0.87   10.80     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:23   5.83    3.62    0.00    0.00    0.74   10.19     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:24   5.39    3.53    0.00    0.00    1.08   10.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:25   5.50    3.60    0.00    0.00    0.80    9.91     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:26   5.73    3.53    0.00    0.00    0.83   10.09     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:27   5.64    3.53    0.00    0.00    1.06   10.22     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:28   5.61    3.45    0.00    0.00    0.72    9.78     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:29   6.62    4.85    0.00    0.00    0.93   12.40     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:30   5.64    3.46    0.00    0.00    1.06   10.15     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:54:31   5.71    3.59    0.00    0.00    0.76   10.07     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:32   5.89    3.75    0.00    0.00    0.78   10.42     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:33   5.80    3.59    0.00    0.00    1.18   10.57     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:34   5.59    3.49    0.00    0.00    0.80    9.89     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:35   4.03    2.53    0.00    0.00    0.55    7.10     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:36   0.02    0.00    0.00    0.00    0.00    0.02     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:37   1.44    0.88    0.00    0.00    0.29    2.61     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:38   5.65    3.14    0.00    0.00    1.10    9.88     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:39   7.47    5.00    0.00    0.00    1.37   13.84     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:40   7.48    4.63    0.00    0.00    1.02   13.12     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:41   7.17    4.07    0.00    0.00    1.00   12.24     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:42   6.98    4.07    0.00    0.00    1.04   12.09     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:43   7.06    4.28    0.00    0.00    1.08   12.43     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:44   6.89    4.06    0.00    0.00    1.42   12.37     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:45   6.97    4.16    0.00    0.00    1.35   12.49     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:46   7.10    4.18    0.00    0.00    1.19   12.47     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:47   7.07    4.31    0.00    0.00    1.17   12.54     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:48   7.04    3.98    0.00    0.00    1.17   12.19     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:49   7.10    4.10    0.00    0.00    1.37   12.57     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:54:50   7.85    5.63    0.00    0.00    1.40   14.88     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:51   7.10    4.32    0.00    0.00    1.36   12.78     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:52   6.96    4.16    0.00    0.00    1.04   12.17     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:53   7.00    4.31    0.00    0.00    1.06   12.36     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:54   6.81    4.37    0.00    0.00    1.04   12.21     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:55   6.97    4.37    0.00    0.00    1.37   12.72     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:56   7.15    4.01    0.00    0.00    1.06   12.22     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:57   6.94    4.16    0.00    0.00    1.02   12.11     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:58   7.08    4.18    0.00    0.00    1.10   12.36     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:54:59   6.83    4.12    0.00    0.00    1.42   12.37     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:00   7.18    4.71    0.00    0.00    1.46   13.34     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:01   7.59    4.94    0.00    0.00    1.36   13.88     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:02   7.07    4.01    0.00    0.00    1.06   12.14     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:03   7.04    4.23    0.00    0.00    1.42   12.69     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:04   6.92    4.18    0.00    0.00    1.02   12.12     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:05   6.80    4.35    0.00    0.00    1.13   12.28     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:06   7.25    4.24    0.00    0.00    1.25   12.74     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:07   5.13    3.10    0.00    0.00    0.76    8.99     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:08   0.08    0.06    0.00    0.00    0.00    0.15     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:55:09   1.66    0.98    0.00    0.00    0.25    2.89     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:10   8.28    5.17    0.00    0.00    1.23   14.68     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:11   9.09    6.22    0.00    0.00    1.53   16.84     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:12   8.24    4.86    0.00    0.00    1.40   14.51     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:13   8.66    5.16    0.00    0.00    1.02   14.85     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:14   8.34    5.35    0.00    0.00    1.44   15.14     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:15   8.17    5.20    0.00    0.00    1.13   14.50     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:16   8.22    5.10    0.00    0.00    1.02   14.35     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:17   8.39    5.19    0.00    0.00    0.96   14.53     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:18   8.55    5.31    0.00    0.00    1.36   15.22     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:19   8.52    5.31    0.00    0.00    1.59   15.42     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:20   8.49    5.29    0.00    0.00    1.19   14.97     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:21   8.91    5.52    0.00    0.00    1.19   15.63     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:22   9.54    6.62    0.00    0.00    1.55   17.72     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:23   8.60    5.23    0.00    0.00    1.38   15.21     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:24   8.39    5.25    0.00    0.00    1.03   14.67     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:25   8.91    5.80    0.00    0.00    1.28   15.99     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:26   8.64    5.57    0.00    0.00    1.24   15.45     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:27   8.85    5.40    0.00    0.00    1.49   15.74     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:55:28   8.65    5.46    0.00    0.00    1.61   15.72     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:29   8.34    5.07    0.00    0.00    1.13   14.54     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:30   8.60    5.23    0.00    0.00    1.07   14.90     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:55:31   8.45    5.23    0.00    0.00    1.09   14.77     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
